timestamp,datetime,alert_key,severity,message,speed_kmh,road_ratio
1779688869.4468498,2026-05-25T11:31:09.446849,low_road_coverage,INFO,INFO: Low road visibility (8% road detected),217.47,0.081
1779688870.1355343,2026-05-25T11:31:10.135534,lane_departure,WARNING,WARNING: Lane departure detected,402.58,0.07
1779688871.174361,2026-05-25T11:31:11.174361,speeding_critical,CRITICAL,CRITICAL: Speed 672.1 km/h — far above limit,672.15,0.316
1779688874.2110944,2026-05-25T11:31:14.211094,speeding_critical,CRITICAL,CRITICAL: Speed 2778.5 km/h — far above limit,2778.48,0.903
1779688874.3821633,2026-05-25T11:31:14.382163,low_road_coverage,INFO,INFO: Low road visibility (9% road detected),2894.89,0.091
1779688875.1019948,2026-05-25T11:31:15.101994,lane_departure,WARNING,WARNING: Lane departure detected,2471.47,0.104
1779688877.3226469,2026-05-25T11:31:17.322646,speeding_critical,CRITICAL,CRITICAL: Speed 1959.2 km/h — far above limit,1959.2,0.927
1779688878.5180125,2026-05-25T11:31:18.518012,low_road_coverage,INFO,INFO: Low road visibility (5% road detected),1261.68,0.047
1779688880.345544,2026-05-25T11:31:20.345544,speeding_critical,CRITICAL,CRITICAL: Speed 1279.1 km/h — far above limit,1279.1,0.949
1779688882.5620527,2026-05-25T11:31:22.562052,speeding_warning,WARNING,WARNING: Speed 75.1 km/h — above limit,75.09,0.326
1779688883.6293006,2026-05-25T11:31:23.629300,speeding_critical,CRITICAL,CRITICAL: Speed 83.6 km/h — far above limit,83.64,0.374
1779688886.7194526,2026-05-25T11:31:26.719452,speeding_critical,CRITICAL,CRITICAL: Speed 194.1 km/h — far above limit,194.05,0.628
1779688896.0158896,2026-05-25T11:31:36.015889,speeding_critical,CRITICAL,CRITICAL: Speed 110.4 km/h — far above limit,110.36,0.659
1779688897.4874368,2026-05-25T11:31:37.487436,lane_departure,WARNING,WARNING: Lane departure detected,423.48,0.066
1779688899.0367074,2026-05-25T11:31:39.036707,speeding_critical,CRITICAL,CRITICAL: Speed 274.1 km/h — far above limit,274.06,0.75
1779688900.523763,2026-05-25T11:31:40.523762,lane_departure,WARNING,WARNING: Lane departure detected,374.09,0.53
1779688902.0476856,2026-05-25T11:31:42.047685,speeding_critical,CRITICAL,CRITICAL: Speed 1138.2 km/h — far above limit,1138.23,0.95
